start,duration,confidence,pitch,chroma
0.0,0.11279,0.0,1.0,"C (also B♯, D#)"
0.0,0.11279,0.0,0.707,"C♯, D♭ (also B#)"
0.0,0.11279,0.0,0.374,"D (also C#, E#)"
0.0,0.11279,0.0,0.391,"D♯, E♭ (also F#)"
0.0,0.11279,0.0,0.39,"E (also D#, F♭)"
0.0,0.11279,0.0,0.403,"F (also E♯, G#)"
0.0,0.11279,0.0,0.306,"F♯, G♭ (also E#)"
0.0,0.11279,0.0,0.27,"G (also F#, A#)"
0.0,0.11279,0.0,0.138,"G♯, A♭"
0.0,0.11279,0.0,0.116,"A (also G#, B#)"
0.0,0.11279,0.0,0.309,"A♯, B♭ (also C#)"
0.0,0.11279,0.0,0.101,"B (also A#, C♭)"
0.11279,0.2239,1.0,0.617,"C (also B♯, D#)"
0.11279,0.2239,1.0,1.0,"C♯, D♭ (also B#)"
0.11279,0.2239,1.0,0.165,"D (also C#, E#)"
0.11279,0.2239,1.0,0.129,"D♯, E♭ (also F#)"
0.11279,0.2239,1.0,0.236,"E (also D#, F♭)"
0.11279,0.2239,1.0,0.384,"F (also E♯, G#)"
0.11279,0.2239,1.0,0.134,"F♯, G♭ (also E#)"
0.11279,0.2239,1.0,0.075,"G (also F#, A#)"
0.11279,0.2239,1.0,0.203,"G♯, A♭"
0.11279,0.2239,1.0,0.074,"A (also G#, B#)"
0.11279,0.2239,1.0,0.055,"A♯, B♭ (also C#)"
0.11279,0.2239,1.0,0.389,"B (also A#, C♭)"
0.33669,0.13324,0.459,0.631,"C (also B♯, D#)"
0.33669,0.13324,0.459,1.0,"C♯, D♭ (also B#)"
0.33669,0.13324,0.459,0.212,"D (also C#, E#)"
0.33669,0.13324,0.459,0.244,"D♯, E♭ (also F#)"
0.33669,0.13324,0.459,0.302,"E (also D#, F♭)"
0.33669,0.13324,0.459,0.337,"F (also E♯, G#)"
0.33669,0.13324,0.459,0.099,"F♯, G♭ (also E#)"
0.33669,0.13324,0.459,0.062,"G (also F#, A#)"
0.33669,0.13324,0.459,0.361,"G♯, A♭"
0.33669,0.13324,0.459,0.241,"A (also G#, B#)"
0.33669,0.13324,0.459,0.422,"A♯, B♭ (also C#)"
0.33669,0.13324,0.459,0.055,"B (also A#, C♭)"
0.46993,0.20295,0.484,0.582,"C (also B♯, D#)"
0.46993,0.20295,0.484,0.738,"C♯, D♭ (also B#)"
0.46993,0.20295,0.484,0.215,"D (also C#, E#)"
0.46993,0.20295,0.484,1.0,"D♯, E♭ (also F#)"
0.46993,0.20295,0.484,0.112,"E (also D#, F♭)"
0.46993,0.20295,0.484,0.138,"F (also E♯, G#)"
0.46993,0.20295,0.484,0.14,"F♯, G♭ (also E#)"
0.46993,0.20295,0.484,0.191,"G (also F#, A#)"
0.46993,0.20295,0.484,0.694,"G♯, A♭"
0.46993,0.20295,0.484,0.141,"A (also G#, B#)"
0.46993,0.20295,0.484,0.757,"A♯, B♭ (also C#)"
0.46993,0.20295,0.484,0.408,"B (also A#, C♭)"
0.67288,0.24562,0.729,0.39,"C (also B♯, D#)"
0.67288,0.24562,0.729,0.912,"C♯, D♭ (also B#)"
0.67288,0.24562,0.729,0.067,"D (also C#, E#)"
0.67288,0.24562,0.729,0.046,"D♯, E♭ (also F#)"
0.67288,0.24562,0.729,0.047,"E (also D#, F♭)"
0.67288,0.24562,0.729,0.054,"F (also E♯, G#)"
0.67288,0.24562,0.729,0.078,"F♯, G♭ (also E#)"
0.67288,0.24562,0.729,1.0,"G (also F#, A#)"
0.67288,0.24562,0.729,0.31,"G♯, A♭"
0.67288,0.24562,0.729,0.028,"A (also G#, B#)"
