fold,n_components,error,walltime,cputime
1,4,44.79,03:13:11,1-06:28:16
1,4,44.39,03:13:11,1-06:28:16
1,4,45.34,03:13:11,1-06:28:16
1,4,42.06,03:13:11,1-06:28:16
1,4,44.08,03:13:11,1-06:28:16
1,4,44.64,03:13:11,1-06:28:16
1,4,47.12,03:13:11,1-06:28:16
1,4,42.31,03:13:11,1-06:28:16
1,4,44.08,03:13:11,1-06:28:16
1,4,42.61,03:13:11,1-06:28:16
1,5,44.08,06:59:14,2-19:31:49
1,5,42.67,06:59:14,2-19:31:49
1,5,42.87,06:59:14,2-19:31:49
1,5,43.12,06:59:14,2-19:31:49
1,5,45.50,06:59:14,2-19:31:49
1,5,42.16,06:59:14,2-19:31:49
1,5,44.64,06:59:14,2-19:31:49
1,5,44.03,06:59:14,2-19:31:49
1,5,44.19,06:59:14,2-19:31:49
1,5,40.99,06:59:14,2-19:31:49
1,6,44.79,,
1,6,42.16,,
1,6,43.52,,
1,6,46.21,,
1,6,46.66,,
1,6,48.33,,
1,6,45.10,,
1,6,48.63,,
1,6,42.51,,
1,6,42.91,,
