fold,hyperparam,error,walltime,cputime
1,13,40.85,17:46:09,7-09:12:55
2,13,38.46,17:46:09,7-09:12:55
3,13,41.90,17:46:09,7-09:12:55
4,13,39.13,17:46:09,7-09:12:55
5,13,39.03,17:46:09,7-09:12:55
6,13,37.55,17:46:09,7-09:12:55
7,13,42.67,17:46:09,7-09:12:55
8,13,41.35,17:46:09,7-09:12:55
9,13,41.35,17:46:09,7-09:12:55
10,13,42.71,17:46:09,7-09:12:55
1,14,39.68,18:57:13,7-20:08:31
2,14,39.23,18:57:13,7-20:08:31
3,14,36.44,18:57:13,7-20:08:31
4,14,40.44,18:57:13,7-20:08:31
5,14,41.15,18:57:13,7-20:08:31
6,14,36.94,18:57:13,7-20:08:31
7,14,42.37,18:57:13,7-20:08:31
8,14,42.31,18:57:13,7-20:08:31
9,14,43.38,18:57:13,7-20:08:31
10,14,40.85,18:57:13,7-20:08:31
1,15,39.98,22:20:43,9-06:43:41
2,15,40.95,22:20:43,9-06:43:41
3,15,38.02,22:20:43,9-06:43:41
4,15,39.74,22:20:43,9-06:43:41
5,15,37.96,22:20:43,9-06:43:41
6,15,42.67,22:20:43,9-06:43:41
7,15,38.42,22:20:43,9-06:43:41
8,15,38.06,22:20:43,9-06:43:41
9,15,39.53,22:20:43,9-06:43:41
10,15,37.96,22:20:43,9-06:43:41
1,17,44.79,1-00:00:30,9-23:29:13
2,17,40.34,1-00:00:30,9-23:29:13
3,17,40.38,1-00:00:30,9-23:29:13
4,17,41.09,1-00:00:30,9-23:29:13
1,19,38.46,,
