fold,sample_size,error,walltime,cputime
1,10,40.08,00:47:58,07:16:04
1,10,39.17,00:47:58,07:16:04
1,10,38.12,00:47:58,07:16:04
1,10,41.76,00:47:58,07:16:04
1,10,39.23,00:47:58,07:16:04
1,10,38.73,00:47:58,07:16:04
1,10,38.97,00:47:58,07:16:04
1,10,43.38,00:47:58,07:16:04
1,10,37.65,00:47:58,07:16:04
1,10,39.23,00:47:58,07:16:04
1,100,39.23,00:53:47,08:12:22
1,100,38.97,00:53:47,08:12:22
1,100,39.17,00:53:47,08:12:22
1,100,39.23,00:53:47,08:12:22
1,100,43.38,00:53:47,08:12:22
1,100,37.65,00:53:47,08:12:22
1,100,38.73,00:53:47,08:12:22
1,100,40.08,00:53:47,08:12:22
1,100,38.12,00:53:47,08:12:22
1,100,41.76,00:53:47,08:12:22
1,1000,39.17,,
1,1000,38.73,,
1,1000,40.08,,
1,1000,39.23,,
1,1000,43.38,,
1,1000,38.97,,
1,1000,37.65,,
1,1000,41.76,,
1,1000,38.12,,
1,1000,39.23,,
1,10000,38.73,00:49:33,06:24:56
1,10000,41.76,00:49:33,06:24:56
1,10000,40.08,00:49:33,06:24:56
1,10000,43.38,00:49:33,06:24:56
1,10000,38.97,00:49:33,06:24:56
1,10000,39.23,00:49:33,06:24:56
1,10000,37.65,00:49:33,06:24:56
1,10000,39.23,00:49:33,06:24:56
1,10000,38.12,00:49:33,06:24:56
1,10000,39.17,00:49:33,06:24:56
